country,total_cases,total_deaths,total_recovered,active_cases
USA,2356657,122247,980355,1254055
Brazil,1086990,50659,579226,457105
Russia,584680,8111,339711,236858
India,426910,13703,237252,175955
UK,304331,42632,N/A,N/A
Spain,293352,28323,N/A,N/A
Peru,254936,8045,141967,104924
Chile,242355,4479,200569,37307
Italy,238499,34634,182893,20972
Iran,204952,9623,163591,31738
Germany,191575,8962,174900,7713
Turkey,187685,4950,160240,22495
Pakistan,181088,3590,71458,106040
Mexico,180545,21825,135279,23441
France,160377,29640,74372,56365
Saudi Arabia,157612,1267,101130,55215
Bangladesh,112306,1464,45077,65765
Canada,101337,8430,63886,29021
South Africa,97302,1930,51608,43764
Qatar,87369,98,68319,18952
China,83396,4634,78413,349
Colombia,68652,2237,27360,39055
Belgium,60550,9696,16771,34083
Belarus,58505,346,37666,20493
Sweden,56043,5053,N/A,N/A
Egypt,55233,2193,14736,38304
Ecuador,50640,4223,24991,21426
Netherlands,49593,6090,N/A,N/A
Indonesia,45891,2465,18404,25022
UAE,44925,302,32415,12208
Argentina,42785,1011,12728,29046
Singapore,42095,26,34942,7127
Kuwait,39650,326,31240,8084
Portugal,39133,1530,25376,12227
Ukraine,36560,1002,16509,19049
Poland,31931,1356,16683,13892
Switzerland,31292,1956,29000,336
Iraq,30868,1100,13935,15833
Philippines,30052,1169,7893,20990
Oman,29471,131,15552,13788
Afghanistan,28833,581,8764,19488
Dominican Republic,26677,662,15138,10877
Panama,26030,501,14359,11170
Ireland,25379,1715,22698,966
Bolivia,24388,773,5454,18161
Romania,24045,1512,16911,5622
Bahrain,21764,63,16419,5282
Israel,20778,306,15694,4778
Armenia,20268,350,9002,10916
Nigeria,20244,518,6879,12847
Japan,17864,953,16108,803
Kazakhstan,17732,120,10897,6715
Austria,17341,690,16197,454
Moldova,14200,473,7896,5831
Ghana,14154,85,10473,3596
Guatemala,13145,531,2711,9903
Serbia,12894,261,11947,686
Honduras,12769,363,1293,11113
Azerbaijan,12729,154,6799,5776
S. Korea,12438,280,10881,1277
Denmark,12391,600,11282,509
Cameroon,11892,303,7710,3879
Algeria,11771,845,8422,2504
Czechia,10498,336,7499,2663
Morocco,9977,214,8284,1479
Nepal,9026,23,1772,7231
Norway,8745,244,8138,363
Sudan,8580,521,3325,4734
Malaysia,8572,121,8156,295
Ivory Coast,7492,54,3068,4370
Australia,7474,102,6903,469
Finland,7143,326,6200,617
Uzbekistan,6358,19,4377,1962
Senegal,5888,84,3919,1885
DRC,5826,130,841,4855
Tajikistan,5457,52,3995,1410
Haiti,5211,88,24,5099
North Macedonia,5106,238,1926,2942
Guinea,4988,27,3669,1292
Kenya,4738,123,1607,3008
El Salvador,4626,107,2542,1977
Djibouti,4582,45,3859,678
Ethiopia,4532,74,1213,3245
Gabon,4428,34,1750,2644
Luxembourg,4120,110,3956,54
Hungary,4094,570,2589,935
Venezuela,3917,33,835,3049
Bulgaria,3905,199,2074,1632
Kyrgyzstan,3356,40,2021,1295
Bosnia and Herzegovina,3273,169,2241,863
Greece,3266,190,1374,1702
Thailand,3151,58,3022,71
Mauritania,2984,111,811,2062
CAR,2808,23,472,2313
Somalia,2779,90,782,1907
French Guiana,2441,6,930,1505
Mayotte,2404,31,2066,307
Croatia,2317,107,2142,68
Cuba,2312,85,2103,124
Costa Rica,2213,12,1032,1169
Maldives,2203,8,1803,392
Estonia,1981,69,1764,148
Albania,1962,44,1134,784
Sri Lanka,1950,11,1498,441
Mali,1933,109,1255,569
South Sudan,1892,34,169,1689
Nicaragua,1823,64,1238,521
Iceland,1823,10,1805,8
Lithuania,1798,76,1475,247
Equatorial Guinea,1664,32,515,1117
Madagascar,1596,14,655,927
Lebanon,1587,32,1068,487
Slovakia,1587,28,1447,112
Guinea-Bissau,1541,17,153,1371
Slovenia,1520,109,1376,35
New Zealand,1513,22,1482,9
Zambia,1430,11,1194,225
Paraguay,1379,13,871,495
Sierra Leone,1327,55,788,484
Tunisia,1157,50,1020,87
Hong Kong,1132,5,1078,49
Latvia,1111,30,903,178
Niger,1036,67,911,58
Jordan,1033,9,739,285
Cyprus,986,19,824,143
Yemen,941,256,347,338
Georgia,906,14,755,137
Burkina Faso,903,53,814,36
Cabo Verde,890,8,413,469
Congo,883,27,391,465
Uruguay,876,25,814,37
Chad,858,74,752,32
Andorra,855,52,792,11
Palestine,833,3,439,391
Uganda,770,,578,192
Benin,765,13,253,499
Mozambique,733,5,181,547
Malawi,730,11,258,461
Rwanda,728,2,359,367
Diamond Princess,712,13,651,48
Sao Tome and Principe,698,12,203,483
San Marino,696,42,610,44
Malta,665,9,616,40
Jamaica,659,10,516,133
Eswatini,635,5,285,345
Liberia,626,34,254,338
Libya,571,10,103,458
Channel Islands,570,48,512,10
Togo,569,13,375,181
Tanzania,509,21,183,305
Réunion,506,1,460,45
Zimbabwe,489,6,64,419
Taiwan,446,7,434,5
Montenegro,362,9,315,38
Vietnam,349,,327,22
Mauritius,337,10,326,1
Isle of Man,336,24,312,0
Suriname,314,8,106,200
Myanmar,290,6,200,84
Comoros,247,5,159,83
Martinique,236,14,98,124
Mongolia,213,,153,60
Syria,204,7,83,114
Cayman Islands,195,1,143,51
Faeroe Islands,187,,187,0
Guyana,184,12,103,69
Angola,183,9,77,97
Gibraltar,176,,176,0
Guadeloupe,174,14,157,3
Bermuda,146,9,132,5
Burundi,144,1,93,50
Eritrea,143,,39,104
Brunei,141,3,138,0
Cambodia,129,,127,2
Trinidad and Tobago,123,8,109,6
Bahamas,104,11,77,16
Aruba,101,3,98,0
Monaco,100,4,94,2
Barbados,97,7,85,5
Botswana,89,1,25,63
Liechtenstein,82,1,55,26
Sint Maarten,77,15,62,0
Bhutan,68,,32,36
French Polynesia,60,,60,0
Namibia,55,,19,36
Macao,45,,45,0
Saint Martin,42,3,36,3
Gambia,37,2,24,11
St. Vincent Grenadines,29,,26,3
Antigua and Barbuda,26,3,22,1
Timor-Leste,24,,24,0
Curaçao,23,1,19,3
Grenada,23,,23,0
Belize,22,2,17,3
New Caledonia,21,,21,0
Laos,19,,19,0
Saint Lucia,19,,18,1
Dominica,18,,18,0
Fiji,18,,18,0
Saint Kitts and Nevis,15,,15,0
Turks and Caicos,14,1,11,2
Falkland Islands,13,,13,0
Greenland,13,,13,0
Vatican City,12,,12,0
Montserrat,11,1,10,0
Seychelles,11,,11,0
Western Sahara,10,1,8,1
MS Zaandam,9,2,,7
British Virgin Islands,8,1,7,0
Papua New Guinea,8,,8,0
Caribbean Netherlands,7,,7,0
St. Barth,6,,6,0
Lesotho,4,,2,2
Anguilla,3,,3,0
Saint Pierre Miquelon,1,,1,0
